Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,cov_coeff,dataset,dataset_dir,device,epochs,eval_dataset,featdim,logfile,lr,model,model_dir,sim_coeff,std_coeff,temperature,trainer,verbosity,weight_decay,workers,CIFAR100_accuracy,CIFAR100_rank,acc/top1,acc/top5,caltech101_accuracy,caltech101_rank,learning_rate,loss,rankme_rank
2023-12-02 19:37:07,9.7d,25572d852f144fe1b3c85f377a96a69a,run_20231202_193710_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.8,resnet18,_models,25.0,25.0,0.15,simclr,0,1e-06,24,24.01,55.54265594482422,32.568359375,48.2666015625,42.857142857142854,72.18474578857422,0.732587844921018,5.25965690612793,112.10968017578125
2023-12-02 18:29:21,9.8d,20d63daa62024bcd8f84a0db54874223,run_20231202_182923_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.6,resnet18,_models,25.0,25.0,0.15,simclr,0,1e-06,24,23.9,42.045440673828125,30.3466796875,45.166015625,40.89861751152074,51.2945442199707,0.5494408836907635,5.3847784996032715,84.9762954711914
2023-12-02 17:21:54,9.8d,af0153aa5a0248208907b5171ebc9fb7,run_20231202_172157_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.5,resnet18,_models,25.0,25.0,0.15,simclr,0,1e-06,24,22.55,46.19923400878906,29.8583984375,42.822265625,39.97695852534562,50.84975051879883,0.45786740307563584,5.406160354614258,103.22872161865234
2023-12-02 16:14:20,9.9d,6ebb2b20ba4444d3a33084d8a9ca67cb,run_20231202_161422_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.4,resnet18,_models,25.0,25.0,0.15,simclr,0,1e-06,24,22.42,49.43778610229492,26.5380859375,41.5771484375,37.5,56.665042877197266,0.366293922460509,5.478490352630615,113.02399444580078
2023-12-02 15:06:56,9.9d,511919408ed14c909690bb7f4e944421,run_20231202_150658_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25.0,25.0,0.15,simclr,0,1e-06,24,22.65,63.575599670410156,25.6591796875,39.1357421875,36.52073732718894,66.72146606445312,0.27472044184538175,5.584362506866455,145.630615234375
2023-12-02 13:59:20,10.0d,5288345696864ea7aa70372855346df2,run_20231202_135922_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.2,resnet18,_models,25.0,25.0,0.15,simclr,0,1e-06,24,21.57,67.27020263671875,22.9736328125,35.693359375,34.735023041474655,71.30859375,0.1831469612302545,5.711715221405029,161.82870483398438
2023-12-02 12:51:57,10.0d,23182ba5da8a410e93ad8c11b0954e85,run_20231202_125159_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.5,resnet18,_models,25.0,25.0,0.15,simclr,0,0.01,24,8.7,22.919368743896484,29.6142578125,43.8232421875,16.589861751152075,22.97617530822754,0.45786740307563584,5.467976093292236,82.05327606201172
2023-12-02 11:43:58,10.1d,68870c188d804a7b94985636d06caad3,run_20231202_114401_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.5,resnet18,_models,25.0,25.0,0.15,simclr,0,0.001,24,9.59,46.40161895751953,29.931640625,45.703125,17.62672811059908,52.432193756103516,0.45786740307563584,5.360055923461914,113.09536743164062
2023-12-02 10:36:25,10.1d,47d31e1b1037404d8fa29c811bfbb836,run_20231202_103627_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.5,resnet18,_models,25.0,25.0,0.15,simclr,0,0.0001,24,16.22,41.6383171081543,30.9814453125,44.9462890625,30.817972350230416,48.798316955566406,0.45786740307563584,5.324678421020508,93.21310424804688
2023-12-02 09:28:52,10.1d,a10360da16b9431d822bb054fdab2f20,run_20231202_092855_simclr,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,2048,1.0,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.5,resnet18,_models,25.0,25.0,0.15,simclr,0,1e-05,24,21.21,50.33829116821289,30.7373046875,44.5068359375,37.845622119815665,59.02583694458008,0.45786740307563584,5.397878646850586,105.4504623413086
